Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,Price($)
AMD FirePro S4000X,GPU,8/7/2014,28,45,123,1500,725,TSMC,AMD,30.75
NVIDIA GeForce 6200 LE,GPU,4/4/2005,110,,110,75,350,TSMC,NVIDIA,27.5
NVIDIA Quadro M2000M,GPU,12/3/2015,28,55,148,1870,1029,TSMC,NVIDIA,37
AMD Radeon RX 560X Mobile,GPU,4/11/2018,14,65,123,3000,1175,GF,AMD,30.75
NVIDIA GeForce Go 7600,GPU,3/1/2006,90,,125,177,450,TSMC,NVIDIA,31.25
AMD Radeon HD 7950 Mac Edition,GPU,3/7/2013,28,200,352,4313,800,TSMC,AMD,88
NVIDIA GeForce 315 OEM,GPU,2/22/2011,40,33,57,260,589,TSMC,NVIDIA,14.25
NVIDIA GeForce FX 5600 Ultra,GPU,3/17/2003,130,,121,80,400,TSMC,NVIDIA,30.25
NVIDIA GeForce 800A,GPU,3/17/2014,40,15,79,292,475,TSMC,NVIDIA,19.75
ATI FirePro V3750,GPU,9/11/2008,55,48,146,514,550,TSMC,ATI,36.5
NVIDIA GeForce 710M,GPU,1/9/2013,28,15,116,585,775,TSMC,NVIDIA,29
AMD Radeon Pro W5700X,GPU,12/11/2019,7,205,251,10300,1243,TSMC,AMD,62.75
NVIDIA GeForce FX 5800 Ultra,GPU,3/6/2003,130,,199,125,500,TSMC,NVIDIA,49.75
AMD Radeon HD 7870 XT,GPU,11/19/2012,28,185,352,4313,925,TSMC,AMD,88
AMD Radeon HD 6470M,GPU,1/4/2011,40,25,67,370,700,TSMC,AMD,16.75
NVIDIA GeForce4 Ti 4200,GPU,2/6/2002,150,,142,63,250,TSMC,NVIDIA,35.5
AMD Radeon R7 M350,GPU,1/1/2015,28,35,77,950,725,TSMC,AMD,19.25
AMD FirePro W7170M,GPU,10/2/2015,28,100,366,5000,723,TSMC,AMD,91.5
AMD Radeon R5 M430,GPU,1/1/2016,28,,56,690,780,TSMC,AMD,14
AMD Radeon R9 380X,GPU,11/19/2015,28,190,366,5000,970,TSMC,AMD,91.5
ATI FirePro V5800 DVI,GPU,4/26/2010,40,74,166,1040,690,TSMC,ATI,41.5
NVIDIA GeForce 410M,GPU,1/5/2011,40,12,79,292,574,TSMC,NVIDIA,19.75
NVIDIA GeForce 8600M GT,GPU,5/1/2007,80,20,169,289,475,TSMC,NVIDIA,42.25
NVIDIA Quadro FX 2500M,GPU,9/29/2005,90,45,196,278,500,TSMC,NVIDIA,49
NVIDIA Quadro4 500 Go GL,GPU,4/23/2002,150,,65,29,220,TSMC,NVIDIA,16.25
AMD Radeon Instinct MI8,GPU,12/12/2016,28,175,596,8900,1000,TSMC,AMD,149
NVIDIA GeForce GT 130 Mac Edition,GPU,12/12/2008,55,75,196,505,600,TSMC,NVIDIA,49
AMD Radeon RX 580 2048SP,GPU,10/15/2018,14,150,232,5700,1168,GF,AMD,58
Intel UHD Graphics G4,GPU,5/28/2020,10,15,,,200,Intel,Intel,0
AMD Radeon RX 570 Mobile,GPU,12/10/2017,14,85,232,5700,926,GF,AMD,58
AMD Radeon R9 M295X Mac Edition,GPU,11/23/2014,28,250,366,5000,850,TSMC,AMD,91.5
NVIDIA Quadro4 580 XGL,GPU,11/12/2002,150,,65,29,300,TSMC,NVIDIA,16.25
NVIDIA Quadro2 Go,GPU,8/14/2001,180,,64,20,143,TSMC,NVIDIA,16
AMD Radeon RX 5500 OEM,GPU,10/7/2019,7,110,158,6400,1500,TSMC,AMD,39.5
NVIDIA GeForce GTX 660 Rev. 2,GPU,9/13/2014,28,140,294,3540,980,TSMC,NVIDIA,73.5
NVIDIA Quadro K420,GPU,7/22/2014,28,41,118,1270,876,TSMC,NVIDIA,29.5
NVIDIA GeForce 9500 GT Rev. 3,GPU,7/29/2008,55,50,121,314,550,TSMC,NVIDIA,30.25
NVIDIA GeForce2 MX 200,GPU,3/3/2001,180,,64,20,175,TSMC,NVIDIA,16
ATI Radeon HD 3870,GPU,11/19/2007,55,106,192,666,777,TSMC,ATI,48
NVIDIA GeForce GTX 1050 3 GB,GPU,5/21/2018,14,75,132,3300,1392,Samsung,NVIDIA,33
NVIDIA GeForce4 Ti 4800,GPU,3/15/2003,150,,101,36,300,TSMC,NVIDIA,25.25
NVIDIA GeForce 8400 GS Rev. 2,GPU,12/4/2007,65,25,86,210,567,TSMC,NVIDIA,21.5
ATI Radeon HD 4850 X2,GPU,11/7/2008,55,250,256,956,625,TSMC,ATI,64
NVIDIA GeForce 7050 + nForce 610i,GPU,1/13/2008,90,,81,112,500,Unknown,NVIDIA,20.25
Intel i852GM Graphics,GPU,12/3/2003,130,,,,200,Intel,Intel,0
NVIDIA Quadro NVS 280 PCI,GPU,10/28/2003,150,13,91,45,275,TSMC,NVIDIA,22.75
Intel Iris Xe Graphics G7 80EU,GPU,9/2/2020,10,15,146,,300,Intel,Intel,36.5
AMD Radeon R9 M270X,GPU,3/21/2014,28,,123,1500,725,TSMC,AMD,30.75
AMD Radeon Pro Vega 20,GPU,11/14/2018,14,100,,,815,GF,AMD,0
Intel UHD Graphics 630,GPU,9/1/2017,14,15,,,350,Intel,Intel,0
ATI All-In-Wonder Radeon 7200,GPU,7/31/2000,180,,111,30,166,TSMC,ATI,27.75
NVIDIA GeForce 8700M GT,GPU,6/1/2007,80,29,169,289,625,TSMC,NVIDIA,42.25
Intel HD Graphics 5000,GPU,5/27/2013,22,30,181,1300,200,Intel,Intel,45.25
NVIDIA Quadro P2000,GPU,2/6/2017,16,75,200,4400,1076,TSMC,NVIDIA,50
AMD Radeon Pro WX 4170 Mobile,GPU,3/1/2017,14,50,123,3000,1002,GF,AMD,30.75
NVIDIA GeForce 9600 GS OEM,GPU,7/29/2008,65,,240,505,500,TSMC,NVIDIA,60
NVIDIA GeForce GTX 560 OEM,GPU,11/29/2011,40,150,520,3000,552,TSMC,NVIDIA,130
NVIDIA Quadro M4000M,GPU,8/18/2015,28,100,398,5200,975,TSMC,NVIDIA,99.5
ATI FirePro M7820,GPU,5/1/2010,40,50,166,1040,700,TSMC,ATI,41.5
NVIDIA GeForce GT 1010,GPU,1/13/2021,14,30,74,1800,1228,Samsung,NVIDIA,18.5
ATI Radeon HD 3200 IGP,GPU,3/4/2008,65,,85,180,500,Unknown,ATI,21.25
AMD Radeon R7 M440,GPU,5/15/2016,28,,125,1550,891,TSMC,AMD,31.25
ATI Radeon IGP 340M,GPU,10/5/2002,180,,73,30,183,Unknown,ATI,18.25
NVIDIA GeForce 7800 GS 24Pipes AGP,GPU,2/2/2006,110,75,333,302,425,TSMC,NVIDIA,83.25
AMD Radeon R7 340 OEM,GPU,5/5/2015,28,50,77,950,730,TSMC,AMD,19.25
AMD Radeon HD 7750,GPU,2/15/2012,28,55,123,1500,800,TSMC,AMD,30.75
NVIDIA GeForce 7800 GT,GPU,8/11/2005,110,65,333,302,400,TSMC,NVIDIA,83.25
NVIDIA GeForce 840A,GPU,3/17/2014,28,33,,,1029,TSMC,NVIDIA,0
NVIDIA Quadro GP100,GPU,10/1/2016,16,235,610,15300,1304,TSMC,NVIDIA,152.5
ATI Radeon HD 5530,GPU,3/17/2011,40,19,59,292,650,TSMC,ATI,14.75
NVIDIA GeForce FX 5200 Ultra Mac Edition,GPU,3/6/2003,150,,124,45,325,TSMC,NVIDIA,31
NVIDIA Tesla M60,GPU,8/30/2015,28,300,398,5200,557,TSMC,NVIDIA,99.5
ATI Xbox 360 E GPU,GPU,6/10/2013,45,120,168,372,500,TSMC,ATI,42
NVIDIA GeForce PCX 5750,GPU,2/17/2004,130,50,125,82,425,TSMC,NVIDIA,31.25
NVIDIA GeForce 9400 GT Rev. 3,GPU,6/13/2012,40,50,57,260,589,TSMC,NVIDIA,14.25
AMD Radeon Graphics 448SP,GPU,1/6/2020,7,15,156,9800,400,TSMC,AMD,39
NVIDIA Quadro FX 1000,GPU,1/21/2003,130,,199,125,300,TSMC,NVIDIA,49.75
AMD Radeon R5 A330,GPU,10/21/2015,28,,56,690,1030,TSMC,AMD,14
ATI Radeon 9550,GPU,10/1/2003,130,,76,60,250,TSMC,ATI,19
NVIDIA Quadro K510M,GPU,7/23/2013,28,30,87,1020,889,TSMC,NVIDIA,21.75
AMD Radeon HD 8740 OEM,GPU,9/5/2013,28,55,123,1500,800,TSMC,AMD,30.75
NVIDIA GeForce 6800 Ultra,GPU,7/26/2004,130,81,287,222,425,TSMC,NVIDIA,71.75
AMD Radeon HD 8370D IGP,GPU,NaT,32,65,246,1303,760,TSMC,AMD,61.5
NVIDIA Quadro FX 370 LP,GPU,11/6/2008,65,25,86,210,540,TSMC,NVIDIA,21.5
NVIDIA GeForce 7150 + nForce 630i,GPU,11/16/2007,90,,81,112,630,Unknown,NVIDIA,20.25
AMD Radeon HD 8670A,GPU,2/2/2013,28,45,56,690,600,TSMC,AMD,14
NVIDIA GeForce GT 740A,GPU,8/26/2013,28,33,87,1020,980,TSMC,NVIDIA,21.75
AMD Radeon HD 6950,GPU,12/14/2010,40,200,389,2640,800,TSMC,AMD,97.25
ATI Fire GL3,GPU,6/1/2000,,,156,,120,IBM,ATI,39
ATI Radeon DDR,GPU,4/1/2000,180,23,115,30,166,TSMC,ATI,28.75
NVIDIA Tesla K40m,GPU,11/22/2013,28,245,561,7080,745,TSMC,NVIDIA,140.25
NVIDIA GeForce RTX 2070 SUPER Max-Q,GPU,4/2/2020,12,80,545,13600,930,TSMC,NVIDIA,136.25
NVIDIA GeForce 510 OEM,GPU,9/29/2011,40,25,79,292,523,TSMC,NVIDIA,19.75
NVIDIA Quadro 5000 SDI,GPU,2/23/2011,40,172,529,3100,513,TSMC,NVIDIA,132.25
AMD Radeon HD 7660G IGP,GPU,5/15/2012,32,35,246,1303,686,TSMC,AMD,61.5
NVIDIA GeForce G105M,GPU,7/16/2009,40,14,57,260,500,TSMC,NVIDIA,14.25
NVIDIA Tesla P100 PCIe 16 GB,GPU,6/20/2016,16,250,610,15300,1190,TSMC,NVIDIA,152.5
ATI Radeon HD 4730 OEM,GPU,12/26/2008,55,110,192,666,669,TSMC,ATI,48
ATI FirePro V5800,GPU,4/26/2010,40,74,166,1040,690,TSMC,ATI,41.5
NVIDIA GeForce GT 745M,GPU,4/1/2013,28,45,118,1270,837,TSMC,NVIDIA,29.5
AMD FirePro 2270,GPU,1/31/2011,40,15,59,292,600,TSMC,AMD,14.75
3dfx Voodoo5 5000 PCI,GPU,NaT,250,30,112,14,166,TSMC,Other,28
AMD Radeon R5 M230 Rebrand,GPU,3/1/2013,28,,56,690,750,TSMC,AMD,14
NVIDIA GeForce FX 5100,GPU,3/6/2003,150,,124,45,200,TSMC,NVIDIA,31
Intel i830M Graphics,GPU,1/1/2001,150,,,,166,Intel,Intel,0
NVIDIA Quadro P2000 Mobile,GPU,2/15/2019,16,75,200,4400,1291,TSMC,NVIDIA,50
NVIDIA GeForce Go 6100 + nForce Go 430,GPU,2/1/2006,90,,,,425,Unknown,NVIDIA,0
Intel GMA,GPU,5/4/2010,32,,,,533,Intel,Intel,0
NVIDIA Quadro FX 4800 Mac Edition,GPU,11/11/2008,55,150,470,1400,602,TSMC,NVIDIA,117.5
NVIDIA GeForce GTX 570,GPU,12/7/2010,40,219,520,3000,732,TSMC,NVIDIA,130
NVIDIA GeForce 845M,GPU,2/7/2015,28,45,148,1870,863,TSMC,NVIDIA,37
NVIDIA GeForce GTX 295,GPU,1/8/2009,,289,470,1400,576,TSMC,NVIDIA,117.5
AMD Radeon HD 6450A,GPU,4/7/2011,40,25,67,370,625,TSMC,AMD,16.75
NVIDIA GeForce GT 320M,GPU,6/15/2009,55,14,121,314,500,TSMC,NVIDIA,30.25
NVIDIA GeForce 7950 GX2,GPU,6/5/2006,90,110,196,278,500,TSMC,NVIDIA,49
NVIDIA GeForce GTX 460 X2,GPU,3/11/2011,40,160,332,1950,701,TSMC,NVIDIA,83
ATI Mobility Radeon HD 4830,GPU,3/3/2009,40,,137,826,550,TSMC,ATI,34.25
AMD Radeon Vega 6 Mobile,GPU,1/8/2018,14,15,210,4940,300,GF,AMD,52.5
NVIDIA GeForce 8600M GS,GPU,5/1/2007,80,20,127,210,450,TSMC,NVIDIA,31.75
ATI Wii GPU,GPU,11/19/2006,90,45,95,107,243,NEC,ATI,23.75
AMD Radeon HD 7670M Rebrand,GPU,7/1/2012,40,20,104,716,600,TSMC,AMD,26
AMD Radeon HD 6970M Mac Edition,GPU,8/25/2011,40,75,212,1700,680,TSMC,AMD,53
ATI Mobility Radeon X200 IGP,GPU,1/1/2005,110,,74,107,300,Unknown,ATI,18.5
ATI Radeon HD 2600 XT AGP,GPU,6/28/2007,55,45,135,378,722,TSMC,ATI,33.75
ATI Mobility Radeon HD 3670,GPU,1/7/2008,55,30,135,378,680,TSMC,ATI,33.75
NVIDIA GeForce GT 520,GPU,4/13/2011,40,29,79,292,810,TSMC,NVIDIA,19.75
AMD FirePro M6100,GPU,10/16/2013,28,,160,2080,1075,TSMC,AMD,40
AMD Radeon R9 M380 Mac Edition,GPU,5/5/2015,28,,160,2080,900,TSMC,AMD,40
AMD Radeon Pro WX 8200,GPU,8/13/2018,14,230,495,12500,1200,GF,AMD,123.75
NVIDIA Quadro FX 1800,GPU,3/30/2009,65,59,240,505,550,TSMC,NVIDIA,60
ATI Radeon X1650,GPU,2/1/2007,90,,150,157,500,TSMC,ATI,37.5
NVIDIA GeForce FX Go5650,GPU,3/1/2003,130,,121,80,325,TSMC,NVIDIA,30.25
ATI Radeon HD 2600 PRO AGP,GPU,6/28/2007,65,35,153,390,594,TSMC,ATI,38.25
AMD Radeon HD 8280 Mobile IGP,GPU,9/18/2013,28,15,110,1178,450,TSMC,AMD,27.5
AMD Radeon Pro 555,GPU,6/5/2017,14,75,123,3000,850,GF,AMD,30.75
ATI Radeon Xpress 1150 IGP,GPU,10/17/2007,110,,73,,400,Unknown,ATI,18.25
ATI Radeon HD 5630,GPU,2/15/2011,40,39,104,627,650,TSMC,ATI,26
ATI Radeon X1550,GPU,1/1/2007,90,27,100,107,500,TSMC,ATI,25
AMD Radeon HD 6290,GPU,12/4/2011,40,19,59,292,650,TSMC,AMD,14.75
AMD Radeon E9260 MXM,GPU,9/27/2016,14,50,123,3000,1090,GF,AMD,30.75
AMD Radeon R5 M230,GPU,1/7/2014,28,,56,690,825,TSMC,AMD,14
AMD Radeon HD 8550M,GPU,7/13/2014,28,,56,690,650,TSMC,AMD,14
NVIDIA GeForce GTX 690,GPU,5/3/2012,28,300,294,3540,915,TSMC,NVIDIA,73.5
Intel HD Graphics 615,GPU,8/30/2016,14,5,,,300,Intel,Intel,0
AMD Radeon HD 6450M,GPU,1/4/2011,40,,67,370,600,TSMC,AMD,16.75
NVIDIA GeForce FX Go5250,GPU,3/1/2003,150,,124,45,250,TSMC,NVIDIA,31
NVIDIA GeForce GT 710 OEM,GPU,4/9/2015,28,,87,1020,797,TSMC,NVIDIA,21.75
ATI Radeon HD 4580,GPU,11/20/2011,55,65,135,378,796,TSMC,ATI,33.75
AMD Zhongshan Subor Z+ GPU,GPU,8/3/2018,14,100,397,,1300,TSMC,AMD,99.25
AMD Radeon E9560 PCIe,GPU,10/15/2019,14,130,232,5700,1120,GF,AMD,58
AMD Radeon Pro Vega 64X,GPU,3/19/2019,14,250,495,12500,1250,GF,AMD,123.75
Intel HD Graphics 515,GPU,9/1/2015,14,15,123,,300,Intel,Intel,30.75
NVIDIA GeForce4 Go 4200,GPU,11/14/2002,150,,101,36,200,TSMC,NVIDIA,25.25
AMD Radeon Vega 10 Mobile,GPU,4/8/2019,14,15,210,4940,300,GF,AMD,52.5
AMD FirePro W5130M,GPU,10/2/2015,28,,123,1500,900,TSMC,AMD,30.75
AMD Radeon RX 580 Mobile,GPU,4/18/2017,14,100,232,5700,1000,GF,AMD,58
NVIDIA Quadro Plex 7000,GPU,7/25/2011,40,600,520,3000,574,TSMC,NVIDIA,130
ATI Mobility FireGL T2e,GPU,8/1/2004,130,,92,76,450,TSMC,ATI,23
NVIDIA Quadro FX 580,GPU,4/9/2009,55,40,121,314,450,TSMC,NVIDIA,30.25
AMD Radeon HD 6510,GPU,5/14/2011,40,39,118,716,650,TSMC,AMD,29.5
AMD Radeon R7 M350,GPU,5/5/2015,28,,125,1550,1000,TSMC,AMD,31.25
NVIDIA GeForce Go 6150 + nForce Go 430,GPU,2/1/2006,90,,,,425,Unknown,NVIDIA,0
ATI Radeon HD 4350 PCI,GPU,9/30/2008,55,20,73,242,600,TSMC,ATI,18.25
AMD Radeon HD 6970M Rebrand,GPU,1/4/2011,40,75,166,1040,800,TSMC,AMD,41.5
NVIDIA Quadro4 400 NVS PCI,GPU,7/16/2004,150,18,65,29,220,TSMC,NVIDIA,16.25
NVIDIA Quadro P520 Mobile,GPU,5/23/2019,14,18,74,1800,1303,Samsung,NVIDIA,18.5
Intel UHD Graphics G1,GPU,5/29/2019,10,15,,,300,Intel,Intel,0
NVIDIA Quadro K2000D,GPU,3/1/2013,28,51,118,1270,954,TSMC,NVIDIA,29.5
NVIDIA GeForce GTS 260M,GPU,6/15/2009,40,38,144,727,550,TSMC,NVIDIA,36
AMD Radeon Instinct MI100,GPU,11/16/2020,7,300,750,50000,1000,TSMC,AMD,187.5
ATI FireGL V5200,GPU,10/1/2005,90,35,150,157,600,TSMC,ATI,37.5
NVIDIA GeForce 9800M GTS,GPU,7/29/2008,65,75,240,505,600,TSMC,NVIDIA,60
NVIDIA GeForce GTX 780 Ti,GPU,11/7/2013,28,250,561,7080,875,TSMC,NVIDIA,140.25
ATI Radeon X1950 GT,GPU,1/29/2007,80,57,230,330,500,TSMC,ATI,57.5
NVIDIA Tesla V100 DGXS 32 GB,GPU,3/27/2018,12,250,815,21100,1297,TSMC,NVIDIA,203.75
AMD Radeon R9 M390X,GPU,5/5/2015,28,75,366,5000,723,TSMC,AMD,91.5
NVIDIA GeForce 810A,GPU,7/22/2014,28,15,87,1020,719,TSMC,NVIDIA,21.75
AMD Radeon Vega 3 Embedded,GPU,7/16/2018,14,15,210,4940,300,GF,AMD,52.5
NVIDIA GeForce GTX TITAN,GPU,2/19/2013,28,250,561,7080,836,TSMC,NVIDIA,140.25
ATI Radeon 3000 IGP,GPU,1/1/2009,65,,85,180,350,Unknown,ATI,21.25
ATI Radeon X1950 GT AGP,GPU,2/10/2007,80,57,230,330,500,TSMC,ATI,57.5
NVIDIA Quadro FX 370M,GPU,8/15/2008,65,20,86,210,550,TSMC,NVIDIA,21.5
ATI Radeon X800 XL,GPU,12/1/2004,130,49,297,160,400,TSMC,ATI,74.25
NVIDIA Quadro FX 5500,GPU,4/20/2006,90,96,196,278,650,TSMC,NVIDIA,49
NVIDIA Tesla K20s,GPU,2/18/2013,28,225,561,7080,575,TSMC,NVIDIA,140.25
AMD Radeon RX 590 GME,GPU,3/9/2020,14,175,232,5700,1257,GF,AMD,58
AMD Radeon HD 8400 Mobile IGP,GPU,11/23/2013,28,25,110,1178,600,TSMC,AMD,27.5
AMD Radeon R9 M395 Mac Edition,GPU,5/5/2015,28,250,366,5000,834,TSMC,AMD,91.5
AMD Radeon R9 M365X,GPU,5/5/2015,28,,123,1500,900,TSMC,AMD,30.75
NVIDIA ION,GPU,6/3/2008,65,20,162,282,575,Unknown,NVIDIA,40.5
NVIDIA GeForce GT 755M Mac Edition,GPU,11/8/2013,28,50,118,1270,1085,TSMC,NVIDIA,29.5
AMD Radeon Vega 3  Embedded,GPU,1/1/2019,14,10,210,4940,300,GF,AMD,52.5
NVIDIA Quadro T1000 Mobile,GPU,NaT,12,50,200,4700,1065,TSMC,NVIDIA,50
AMD Radeon HD 6620G IGP,GPU,12/7/2011,32,35,227,1178,444,TSMC,AMD,56.75
NVIDIA GeForce GT 545 OEM,GPU,5/14/2011,40,105,238,1170,871,TSMC,NVIDIA,59.5
Intel HD Graphics 610,GPU,8/30/2016,14,5,,,300,Intel,Intel,0
ATI Radeon X550 XT,GPU,1/24/2007,110,,156,120,400,TSMC,ATI,39
NVIDIA TITAN RTX,GPU,12/18/2018,12,280,754,18600,1350,TSMC,NVIDIA,188.5
ATI FireMV 2200 PCI,GPU,1/1/2006,150,15,98,36,240,UMC,ATI,24.5
3dfx Voodoo4 4800 AGP,GPU,NaT,250,15,112,14,166,TSMC,Other,28
NVIDIA GeForce Go 6600 TE,GPU,9/29/2005,110,,154,146,225,TSMC,NVIDIA,38.5
NVIDIA GeForce 9800M GTS,GPU,8/21/2008,65,75,240,505,600,TSMC,NVIDIA,60
NVIDIA GeForce 930MX,GPU,3/1/2016,28,17,,,952,TSMC,NVIDIA,0
ATI Mobility FireGL V5200,GPU,2/1/2006,90,,150,157,425,TSMC,ATI,37.5
NVIDIA GeForce 210 OEM,GPU,9/4/2009,40,31,100,486,475,TSMC,NVIDIA,25
ATI FireGL V3600,GPU,6/28/2007,65,73,153,390,600,TSMC,ATI,38.25
NVIDIA Quadro P500 Mobile,GPU,1/5/2018,14,18,74,1800,1455,Samsung,NVIDIA,18.5
AMD FireStream 9370,GPU,6/23/2010,40,225,334,2154,825,TSMC,AMD,83.5
NVIDIA GeForce 405 OEM,GPU,9/3/2010,40,25,100,486,475,TSMC,NVIDIA,25
NVIDIA GeForce GTX 760 X2,GPU,11/19/2013,28,250,294,3540,1006,TSMC,NVIDIA,73.5
NVIDIA GeForce GTX 1650,GPU,4/23/2019,12,75,200,4700,1485,TSMC,NVIDIA,50
AMD Radeon RX 6900 XT,GPU,10/28/2020,7,300,520,26800,1825,TSMC,AMD,130
NVIDIA GeForce4 MX + nForce2,GPU,10/1/2002,150,,65,29,200,Unknown,NVIDIA,16.25
NVIDIA CMP 40HX,GPU,2/25/2021,12,185,445,10800,1470,TSMC,NVIDIA,111.25
NVIDIA Quadro 2000M,GPU,1/13/2011,40,55,238,1170,550,TSMC,NVIDIA,59.5
Intel HD Graphics,GPU,10/1/2012,22,45,94,392,350,Intel,Intel,23.5
AMD Radeon R2 Mobile Graphics,GPU,1/28/2015,28,100,107,930,497,GF,AMD,26.75
NVIDIA GeForce 6150,GPU,10/11/2004,90,,,,475,Unknown,NVIDIA,0
NVIDIA Quadro NVS 510M,GPU,8/21/2006,90,35,196,278,450,TSMC,NVIDIA,49
ATI Mobility FireGL V5250,GPU,1/1/2007,90,,150,157,450,TSMC,ATI,37.5
NVIDIA GeForce GTX 880M,GPU,3/12/2014,28,122,294,3540,954,TSMC,NVIDIA,73.5
ATI Mobility Radeon HD 545v,GPU,5/5/2010,55,15,73,242,720,TSMC,ATI,18.25
NVIDIA GeForce GTX 1050 Ti Mobile,GPU,1/3/2017,14,75,132,3300,1493,Samsung,NVIDIA,33
AMD Radeon Instinct MI60,GPU,11/18/2018,7,300,331,13230,1200,TSMC,AMD,82.75
NVIDIA GeForce4 MX 440-8x,GPU,9/25/2002,150,,65,29,275,TSMC,NVIDIA,16.25
AMD Stream Processor,GPU,1/1/2006,90,165,352,384,594,TSMC,AMD,88
AMD FirePro S10000 Passive,GPU,11/12/2012,28,375,352,4313,825,TSMC,AMD,88
NVIDIA Tesla X2070,GPU,7/25/2011,40,225,520,3000,651,TSMC,NVIDIA,130
AMD Radeon RX Vega 56,GPU,8/14/2017,14,210,495,12500,1156,GF,AMD,123.75
NVIDIA GeForce GT 520 PCI,GPU,4/13/2011,40,29,79,292,810,TSMC,NVIDIA,19.75
NVIDIA NVS 5200M,GPU,6/1/2012,28,25,116,585,625,TSMC,NVIDIA,29
NVIDIA NVS 5400M,GPU,6/1/2012,40,35,116,585,660,TSMC,NVIDIA,29
NVIDIA Quadro FX 540,GPU,8/9/2004,110,25,154,146,300,TSMC,NVIDIA,38.5
ATI Radeon X1300 PCI,GPU,10/5/2005,80,,100,107,450,UMC,ATI,25
AMD Radeon HD 8490 OEM,GPU,7/23/2013,40,35,67,370,875,TSMC,AMD,16.75
NVIDIA GeForce GTX 1660 SUPER,GPU,10/29/2019,12,125,284,6600,1530,TSMC,NVIDIA,71
ATI Radeon E2400,GPU,6/28/2007,65,25,85,180,600,TSMC,ATI,21.25
ATI Radeon X1800 XT,GPU,10/1/2005,90,113,288,321,600,TSMC,ATI,72
AMD Radeon R7 M260DX,GPU,1/7/2014,28,,56,690,780,TSMC,AMD,14
Intel UHD Graphics 730,GPU,1/1/2021,14,15,,,300,Intel,Intel,0
ATI Radeon DDR VIVO,GPU,8/14/2001,180,,115,30,183,TSMC,ATI,28.75
AMD Radeon HD 7650M,GPU,1/7/2012,40,20,104,716,450,TSMC,AMD,26
ATI Mobility Radeon 7500,GPU,12/1/2001,150,27,68,60,230,TSMC,ATI,17
XGI Volari Duo V5 Ultra,GPU,9/15/2003,130,,,90,350,UMC,Other,0
NVIDIA A10G,GPU,4/12/2021,8,150,628,28300,1320,Samsung,NVIDIA,157
ATI Radeon HD 4350 PCIe x1,GPU,9/30/2008,55,20,73,242,600,TSMC,ATI,18.25
Intel Iris Xe Graphics G7 96EU,GPU,9/2/2020,10,15,146,,300,Intel,Intel,36.5
NVIDIA GeForce GTX 1050,GPU,10/25/2016,14,75,132,3300,1354,Samsung,NVIDIA,33
AMD Radeon HD 6510,GPU,5/14/2011,40,39,104,627,650,TSMC,AMD,26
ATI Mobility Radeon HD 3410,GPU,7/25/2008,55,7,67,181,400,TSMC,ATI,16.75
Matrox QID,GPU,12/17/2004,0,,,,250,UMC,Other,0
AMD Radeon RX Vega Nano,GPU,NaT,14,175,495,12500,1247,GF,AMD,123.75
AMD Radeon R9 M395X,GPU,5/5/2015,28,75,366,5000,723,TSMC,AMD,91.5
NVIDIA GeForce 320M,GPU,4/1/2010,40,23,100,486,450,Unknown,NVIDIA,25
ATI Mobility Radeon X800 XT,GPU,6/1/2005,130,,289,160,480,TSMC,ATI,72.25
NVIDIA Switch GPU 20nm,GPU,3/17/2017,20,15,118,2000,384,TSMC,NVIDIA,29.5
AMD Radeon Pro 5600M,GPU,6/15/2020,7,50,,,1000,TSMC,AMD,0
Intel UHD Graphics 615,GPU,11/7/2018,14,15,,,300,Intel,Intel,0
NVIDIA GeForce GT 230 OEM,GPU,4/27/2009,55,75,260,754,500,TSMC,NVIDIA,65
NVIDIA Tesla P6,GPU,3/24/2017,16,90,314,7200,1012,TSMC,NVIDIA,78.5
AMD Radeon HD 8850M,GPU,4/1/2013,28,,123,1500,575,TSMC,AMD,30.75
NVIDIA GeForce 705M,GPU,NaT,40,15,79,292,738,TSMC,NVIDIA,19.75
NVIDIA GeForce GTX 1080 Ti,GPU,3/10/2017,16,250,471,11800,1481,TSMC,NVIDIA,117.75
NVIDIA GeForce GT 330 OEM,GPU,2/2/2010,65,75,324,754,500,TSMC,NVIDIA,81
AMD FirePro W4170M,GPU,4/23/2015,28,,77,950,825,TSMC,AMD,19.25
AMD Xbox One S GPU,GPU,8/2/2016,16,95,240,5000,914,TSMC,AMD,60
AMD Radeon RX 580X Mobile,GPU,4/11/2018,14,100,232,5700,1000,GF,AMD,58
NVIDIA GRID K520Q,GPU,7/2/2014,28,225,294,3540,745,TSMC,NVIDIA,73.5
AMD Radeon HD 8530M,GPU,1/10/2014,28,,77,950,650,TSMC,AMD,19.25
NVIDIA GeForce 8200M G mGPU Intel,GPU,6/3/2008,65,12,144,314,400,Unknown,Intel,36
ATI Radeon X800 XT Platinum,GPU,3/1/2004,130,63,289,160,520,TSMC,ATI,72.25
NVIDIA GeForce GT 430,GPU,10/11/2010,40,49,116,585,700,TSMC,NVIDIA,29
AMD Radeon R7 M270,GPU,1/9/2014,28,,77,950,725,TSMC,AMD,19.25
AMD Radeon Vega 6 Embedded,GPU,5/10/2018,14,15,210,4940,300,GF,AMD,52.5
NVIDIA GeForce Go 7700,GPU,8/1/2006,90,,125,177,450,TSMC,NVIDIA,31.25
